Name,Description,Excerpt,Tree species,Tour,Sequence
European lindens (Tilia europaea),"For good walkers, then, the tour co...","For good walkers, then, the tour continues in the direction of the skating rink. Where the path turns left towards the rink, at lamp post K 228, you will be able to compare three different <i style=""color: rgb(156, 39, 176);""><i style=""color: rgb(156, 39, 176);"">European linden</i>s</i>. A silver-leafed linden, Tilia tomentosa, is in the angle of the path as it turns left. This linden has been grafted on understock of another species, probably the European. The difference in bark color above and below the graft line is clearly evident. This tree has a horizontal branch that arches gracefully over the path. To the left, across from lamp post K 228, is a <i style=""color: rgb(156, 39, 176);"">European linden</i>, <b><i style=""color: rgb(156, 39, 176);"">Tilia europaea</i></b>. On the point of the triangle to the right is a small-leafed linden, T. cordata, with two trunks. Its branches mingle with those of the silverleafed linden to make a canopy over the path. If you recall the coarse-leafed American lindens seen earlier in the walk, you will understand why these more refined European species are preferred for ornamental planting. To refresh your memory, there is another very large American linden ahead on the right by lamp post L 126.",Tilia europaea,TOUR 4,141
Silver-leafed linden (Tilia tomentosa),"For good walkers, then, the tour co...","For good walkers, then, the tour continues in the direction of the skating rink. Where the path turns left towards the rink, at lamp post K 228, you will be able to compare three different European lindens. A <i style=""color: rgb(156, 39, 176);"">silver-leafed linden</i>, <b><i style=""color: rgb(156, 39, 176);"">Tilia tomentosa</i></b>, is in the angle of the path as it turns left. This linden has been grafted on understock of another species, probably the European. The difference in bark color above and below the graft line is clearly evident. This tree has a horizontal branch that arches gracefully over the path. To the left, across from lamp post K 228, is a European linden, Tilia europaea. On the point of the triangle to the right is a small-leafed linden, T. cordata, with two trunks. Its branches mingle with those of the silverleafed linden to make a canopy over the path. If you recall the coarse-leafed American lindens seen earlier in the walk, you will understand why these more refined European species are preferred for ornamental planting. To refresh your memory, there is another very large American linden ahead on the right by lamp post L 126.",Tilia tomentosa,TOUR 4,142
Small-leafed linden (Tilia cordata),"For good walkers, then, the tour co...","For good walkers, then, the tour continues in the direction of the skating rink. Where the path turns left towards the rink, at lamp post K 228, you will be able to compare three different European lindens. A silver-leafed linden, Tilia tomentosa, is in the angle of the path as it turns left. This linden has been grafted on understock of another species, probably the European. The difference in bark color above and below the graft line is clearly evident. This tree has a horizontal branch that arches gracefully over the path. To the left, across from lamp post K 228, is a European linden, Tilia europaea. On the point of the triangle to the right is a <i style=""color: rgb(156, 39, 176);"">small-leafed linden</i>, <b><i style=""color: rgb(156, 39, 176);"">T. cordata</i></b>, with two trunks. Its branches mingle with those of the silverleafed linden to make a canopy over the path. If you recall the coarse-leafed American lindens seen earlier in the walk, you will understand why these more refined European species are preferred for ornamental planting. To refresh your memory, there is another very large American linden ahead on the right by lamp post L 126.",Tilia cordata,TOUR 4,143
American linden (Tilia americana),"For good walkers, then, the tour co...","For good walkers, then, the tour continues in the direction of the skating rink. Where the path turns left towards the rink, at lamp post K 228, you will be able to compare three different European lindens. A silver-leafed linden, Tilia tomentosa, is in the angle of the path as it turns left. This linden has been grafted on understock of another species, probably the European. The difference in bark color above and below the graft line is clearly evident. This tree has a horizontal branch that arches gracefully over the path. To the left, across from lamp post K 228, is a European linden, Tilia europaea. On the point of the triangle to the right is a small-leafed linden, T. cordata, with two trunks. Its branches mingle with those of the silverleafed linden to make a canopy over the path. If you recall the coarse-leafed <i style=""color: rgb(156, 39, 176);""><i style=""color: rgb(156, 39, 176);"">American linden</i>s</i> seen earlier in the walk, you will understand why these more refined European species are preferred for ornamental planting. To refresh your memory, there is another very large <i style=""color: rgb(156, 39, 176);"">American linden</i> ahead on the right by lamp post L 126.",Tilia americana,TOUR 4,144
Japanese cherries (Prunus serrulata),As you approach the rustic pavilion...,"As you approach the rustic pavilion on the lake, you pass on your left an extensive planting of <i style=""color: rgb(156, 39, 176);"">Japanese cherries</i>, the variety ""Kwanzan."" The nearby lake shore is a favorite fishing station. The soil in this area is trampled as hard as concrete and the cherries are failing. These delicate garden subjects are not adapted to growing in a heavily traveled area. It is hoped that they will be replaced with more rugged and better defended trees such as cockspur thorns and spiny ash.",Prunus serrulata,TOUR 4,145
Sour gums (Nyssa sylvatica),"On the point, on either side of lam...","On the point, on either side of lamp post L 125, are two <i style=""color: rgb(156, 39, 176);"">sour gums</i>, <b><i style=""color: rgb(156, 39, 176);"">Nyssa sylvatica</i></b>, also known by regional names of <i style=""color: rgb(156, 39, 176);"">tupelo</i> and pepperidge. <i style=""color: rgb(156, 39, 176);"">Sour gums</i> are the first trees to show autumn color, sometimes as early as the end of July. Especially when standing in full sun on the edge of green woods, their shiny scarlet or mahogany red foliage is a memorable sight.

The planting by the entrance of the skating rink contains some first-rate material. The glossy-leafed shrub by lamp post L 114, and repeated behind the pipe maze farther ahead, is Euonymus kiautschovica, which you may prefer to call by its former name, E. patens. Judging by the number of inquiries, this is the most admired and least known shrub in Brooklyn. It has clouds of greenish-white flowers in late summer. The fruit, resembling that of its cousin bittersweet, is seldom able to ripen before frost.",Nyssa sylvatica,TOUR 4,146
Boxleaf hollies (Ilex crenata),The low shrubs massed by the skate ...,"The low shrubs massed by the skate shop door are <i style=""color: rgb(156, 39, 176);"">boxleaf hollies</i>, <b><i style=""color: rgb(156, 39, 176);"">Ilex crenata</i></b> convexa, with small, cupped, highly polished leaves. The euonymus seems to be able to take anything the city can hand out in the way of air pollution and soot fallout, but the <i style=""color: rgb(156, 39, 176);"">boxleaf holly</i> doesn't always thrive under city hardships as it seems to do here.",Ilex crenata,TOUR 4,147
London planes (Platanus hispanica),Walk beyond the skating rink toward...,"Walk beyond the skating rink towards the Lincoln statue and sit for a while under the double row of <i style=""color: rgb(156, 39, 176);"">London planes</i>, Platanus acerifolia. The glorious view of the lake, the focal point of the entire Concert Grove, has been obliterated by a garish building and a stockade of cyclone fencing.
The crescent of London planes at one time framed a cove with an island in its center. On the island, musicians played for the pleasure of those in boats and on shore. Of Olmsted and Vaux's original design, only the trees remain. Their quiet presence underlines the vulgarity of the encroachment. Under the spell of the great trees, you may be able to recreate in your mind the dignity and elegance of this once-beautiful landscape.",Platanus hispanica,TOUR 4,148
Camperdown elm (Ulmus glabra 'camperdownii'),At this point you can walk back thr...,"At this point you can walk back through the parking lot to the BMT Parkside Station, or go up the steps and through the Concert Grove to the Oriental Pavilion . . . . From here you can either go up the bill to the Lincoln Road Station of the BMT, or pick up the route of Tour I, as you go through Cleft Ridge Span to see the treasured <i style=""color: rgb(156, 39, 176);"">Camperdown elm</i>.

""In the years to come, man will be overwhelmingly a city animal. He will find nature in the city; or he will be in danger of not finding it at all. New York City is fortunate in its natural areas. Men of large vision and bold capacity to act created Central Park when the city had not grown northward of Thirtieth Street, and Prospect Park when Brooklyn was still a grouping of villages and neighborhoods.""

August Heckscher, Commissioner of Parks, 1967

",Ulmus glabra 'Camperdownii',TOUR 4,149
FOOTNOTE TO TREE TRAILS,"FOOTNOTE TO TREE TRAILS

Major chan...","FOOTNOTE TO TREE TRAILS

Major changes are taking place in Prospect Park even as this booklet is being printed.Some trees mentioned in the text have died, victims of longstanding neglect or drought.To balance the loss, the Park has gained a director who is genuinely concerned with the sorry condition of the landscape and is taking energetic action to improve its care.

Among the tree casualties are the Turkey oak near the start of Tour I and the quaintly deformed black cherry noted on Tour III. The former was a rare and fine tree, the latter of value primarily as a marker to confirm the route. In addition, and most regrettably, the majority of bald cypresses in the Park, including the specimen described [in] Tour IV, are in critical condition. The severe droughts of 1965-6 have caused what may be irreversible damage to the roots of those moisture-loving trees. The surviving roots are not able to take up enough water to support a full crop of needles. The scanty foliage in turn cannot manufacture enough food to promote growth of a new root system, and so the life of the bald cypresses hangs in uncertain balance.

The new Park Director is James Linden. He has undertaken to repair the havoc caused by decades of ignorance and apathy. As a start, trees near the Willink Entrance are being cleared of dead wood. In the care of trees, however, no amount of energy and good will can take the place of technical competence. Without a trained horticulturist to direct the program, results are hit-and-miss and may in fact cause as much harm as cure. Heavy limbs, instead of being roped harmlessly down, were sawed off to crash on branches below. The ragged stub of the hornbeam has been cut off but extensive fungus infection persists in the limb and probably in the main trunk. Needless mutilation of low branches and shrubbery is still prevalent. A portion of the earth mound has been removed from the cherry birch near the carousel but buried roots on the north side are still suffocating.

Prospect Park, a masterpiece of landscape art, demands the same level of skilled care as the art treasures in our museums. Preserving an ancient tree, like cleaning a Rembrandt, is a job for an expert. The Park's heritage of magnificent trees requires professional care -- the informed attention of a full-time horticultural director to train and supervise a crew of Park Department employees.

Until this vital post is filled, Mr. Linden needs and deserves the help of all friends of Prospect Park. When you notice dead or broken limbs, rotting stubs, erosion from roots, untreated wounds, or insect damage, make a report in writing to Mr. Linden, enclosing a rough sketch of the locality and, if possible, the number of a nearby lamp post. The address is Litchfield Villa, Prospect Park West at 5th Street, Brooklyn, NY 11215.

June 21, 1968

",,Back matter,150
A WORD ABOUT THE AUTHOR,A WORD ABOUT THE AUTHOR: M. M. GRAF...,"A WORD ABOUT THE AUTHOR: M. M. GRAFF, THIRTY YEARS LATER

Shortly after becoming Curator of Prospect Park in January of 1966, I received a letter from Mildred M. Graff -- better known by and with the preferred name of Dicky -- volunteering her services in the park. Dicky was an expert on horticulture, botany in general, and especially on the subject of trees. She had been a suburban gardener for years, had recently moved to Brooklyn, and her book Flowers in the Winter Garden had just been published by Doubleday. We arranged a meeting, and through harmony of personalities and mutual interests became fast friends. I first made use of her expertise by asking her to read and criticize the section on trees in my Prospect Park Handbook that was published in 1967. When the book appeared Dicky joined in promoting its distribution. 

Soon afterwards Dicky Graff became director of the Camperdown Fund, formed to solicit resources for professional care of the century old trees in the park. It was named after the unique bonsai-looking Camperdown elm set out near Prospect Park's Cleft Ridge Span in 1872. Brooklyn's famous poet, Marianne Moore, who had been active in the fight to save the nearby Boathouse since 1964, wrote a poem on this Camperdown elm. She and Dicky soon became bosom companions. Miss Moore also had composed a foreword for the Prospect Park Handbook, and, following her death, Mrs. Graff penned a second foreword for the paperback edition of the Handbook published in 1972. It was a touching and informative tribute to the poet, entitled ""Remembering Marianne Moore."" 

The most pleasant of my memories regarding Dicky Graff is our sharing the leadership of the Prospect Park walking tours. She joined me during the third season, in 1968. We handed the bullhorn back and forth at every stop, I pointing out the design features of the park, and Dicky supplying information about the trees and plantings. I learned as much from her as any of the tour participants. 

Tree Trails in Prospect Park, published by Greensward Foundation in 1968, is dedicated to Marianne Moore. Dicky's coauthor was George Kalmbacher, taxonomist at the Brooklyn Botanic Garden. Dicky's Tree Trails in Central Park appeared in 1970, and she shared authorship with Thomas Hanley for Rock Trails in Central Park in 1976. Dicky produced two booklets in 1982, The Men Who Made Central Park and The Making of Prospect Park, which studies led to a monumental work three years later: Central Park -- Prospect Park, a New Perspective. It was innovative in giving credit for the parks' special feature where they belonged, many of them to heretofore unrecognized talents. 

For her efforts in maintaining and replacing the natural amenities of the two great city parks, and for promoting an understanding and appreciation of them through the spoken and written word, it is fitting that we honor M. M. Graff on this thirtieth anniversary of publication of Tree Trails in Prospect Park. 

23 February 1998

Clay Lancaster
Warwick Foundation
Salvisa, Kentucky

",,Back matter,151
